"utm10","especie"
"PF16","Microtus agrestis"
"PF69","Mus spretus"
"PB17","Lynx pardinus"
"ND10","Meles meles"
"PG90","Mus spretus"
"PC44","Lepus granatensis"
"NB27","Apodemus sylvaticus"
"PC16","Lepus granatensis"
"PE24","Talpa occidentalis"
"ND10","Arvicola sapidus"
"PF31","Genetta genetta"
"NC76","Genetta genetta"
"NC41","Vulpes vulpes"
"MD74","Sciurus vulgaris"
"QG01","Vulpes vulpes"
"PF79","Microtus lusitanicus"
"PG70","Microtus cabrerae"
"PE64","Lepus granatensis"
"NB72","Mus spretus"
"PF60","Martes foina"
"PF69","Microtus lusitanicus"
"PF08","Oryctolagus cuniculus"
"ND18","Sus scrofa"
"NC06","Microtus duodecimcostatus"
"PE45","Vulpes vulpes"
"NG61","Sus scrofa"
"ND16","Oryctolagus cuniculus"
"NC77","Microtus duodecimcostatus"
"MC86","Oryctolagus cuniculus"
"NE56","Genetta genetta"
"NB33","Microtus lusitanicus"
"NB78","Vulpes vulpes"
"PD36","Vulpes vulpes"
"MD70","Oryctolagus cuniculus"
"NE32","Sus scrofa"
"PF02","Vulpes vulpes"
"PC54","Oryctolagus cuniculus"
"NB33","Apodemus sylvaticus"
"ND18","Talpa occidentalis"
"NC30","Microtus cabrerae"
"NC71","Erinaceus europaeus"
"NC10","Mus spretus"
"PE57","Sus scrofa"
"NF35","Rattus rattus"
"PC03","Genetta genetta"
"NC83","Apodemus sylvaticus"
"NG64","Canis lupus"
"PB04","Crocidura russula"
"ND90","Lepus granatensis"
"NC32","Mustela nivalis"
"ND92","Lutra lutra"
"PF99","Microtus cabrerae"
"NE45","Sorex granarius"
"PF61","Herpestes ichneumon"
"NC94","Martes foina"
"NB17","Apodemus sylvaticus"
"MC86","Mus spretus"
"PF67","Microtus cabrerae"
"NC26","Apodemus sylvaticus"
"NC34","Mus spretus"
"PB16","Lynx pardinus"
"PE35","Oryctolagus cuniculus"
"PF51","Vulpes vulpes"
"PD44","Talpa occidentalis"
"PC09","Lepus granatensis"
"NG64","Neomys anomalus"
"NC87","Erinaceus europaeus"
"NC26","Vulpes vulpes"
"PG93","Cervus elaphus"
"NC88","Talpa occidentalis"
"NC60","Herpestes ichneumon"
"NB39","Apodemus sylvaticus"
"PC62","Vulpes vulpes"
"PC42","Apodemus sylvaticus"
"NC09","Microtus cabrerae"
"PF54","Lepus granatensis"
"NC34","Arvicola sapidus"
"PE37","Sciurus vulgaris"
"NE56","Mus spretus"
"NC58","Genetta genetta"
"PE56","Herpestes ichneumon"
"ND00","Lepus granatensis"
"PF67","Microtus lusitanicus"
"PD43","Mus spretus"
"NC89","Lepus granatensis"
"NB95","Herpestes ichneumon"
"PE45","Sus scrofa"
"PC19","Meles meles"
"QF08","Apodemus sylvaticus"
"PF01","Sciurus vulgaris"
"PF52","Sus scrofa"
"ND49","Genetta genetta"
"MC88","Crocidura russula"
"PE57","Genetta genetta"
"NG61","Sorex granarius"
"NB31","Mus spretus"
"PD15","Microtus lusitanicus"
"ND10","Lutra lutra"
"PE76","Capreolus capreolus"
"PE35","Sciurus vulgaris"
"NE22","Apodemus sylvaticus"
"PC32","Herpestes ichneumon"
"NE41","Vulpes vulpes"
"PF12","Sus scrofa"
"PF79","Apodemus sylvaticus"
"PE09","Oryctolagus cuniculus"
"ND58","Sciurus vulgaris"
"NG44","Canis lupus"
"NC16","Mus musculus"
"PF43","Canis lupus"
"QF19","Vulpes vulpes"
"NC47","Sus scrofa"
"NG23","Oryctolagus cuniculus"
"NC81","Vulpes vulpes"
"NG55","Erinaceus europaeus"
"MD86","Arvicola sapidus"
"NC87","Sus scrofa"
"NF25","Mus spretus"
"MD76","Crocidura russula"
"MD60","Oryctolagus cuniculus"
"NC95","Vulpes vulpes"
"PC44","Rattus norvegicus"
"ND61","Talpa occidentalis"
"NC47","Lepus granatensis"
"PD53","Mus spretus"
"NC87","Martes foina"
"PC08","Lutra lutra"
"PF67","Mus spretus"
"NF84","Talpa occidentalis"
"PF04","Canis lupus"
"NB49","Apodemus sylvaticus"
"PG70","Crocidura russula"
"NB22","Apodemus sylvaticus"
"PC24","Oryctolagus cuniculus"
"NC87","Apodemus sylvaticus"
"NC75","Apodemus sylvaticus"
"NF62","Herpestes ichneumon"
"PC07","Lepus granatensis"
"PG11","Microtus agrestis"
"NC34","Microtus cabrerae"
"NC47","Meles meles"
"PF79","Crocidura russula"
"PF88","Vulpes vulpes"
"NE54","Herpestes ichneumon"
"NC63","Apodemus sylvaticus"
"NC88","Erinaceus europaeus"
"PC38","Oryctolagus cuniculus"
"NF34","Apodemus sylvaticus"
"QF19","Microtus lusitanicus"
"NE46","Mus musculus"
"PF59","Lepus granatensis"
"ND16","Vulpes vulpes"
"NG23","Canis lupus"
"PF16","Sorex granarius"
"NF94","Neomys anomalus"
"PB16","Herpestes ichneumon"
"NF62","Oryctolagus cuniculus"
"NE73","Cervus elaphus"
"PF32","Lepus granatensis"
"NG92","Meles meles"
"NC23","Talpa occidentalis"
"NB96","Eliomys quercinus"
"PC28","Talpa occidentalis"
"ND41","Herpestes ichneumon"
"PB24","Microtus duodecimcostatus"
"NG34","Vulpes vulpes"
"QG20","Vulpes vulpes"
"PC14","Vulpes vulpes"
"PE35","Capreolus capreolus"
"PE69","Meles meles"
"NE28","Oryctolagus cuniculus"
"NB00","Mus musculus"
"QF07","Sus scrofa"
"NC76","Martes foina"
"NC16","Vulpes vulpes"
"PB18","Genetta genetta"
"NF28","Crocidura russula"
"ND59","Vulpes vulpes"
"NF71","Microtus lusitanicus"
"NC45","Oryctolagus cuniculus"
"NC91","Vulpes vulpes"
"NC30","Apodemus sylvaticus"
"PC41","Talpa occidentalis"
